Cell,Mutation,MOI,dataSet,SCALING_timeRange,SCALING_intensityMin,SCALING_intensityMax,SCALING_intensityRange,DEC_dataInputName,DEC_intensityMaximum,DEC_threshold_minimum_for_intensity_maximum,DEC_test_minimum_for_intensity_maximum,DEC_intensityRange,DEC_threshold_intensity_range,DEC_test_intensity_range,DEC_decisonSteps,DEC_decision,SM_maximum_N_Estimate,SM_maximum_Std_Error,SM_maximum_t_value,SM_maximum_Pr_t,SM_slopeParam_N_Estimate,SM_slopeParam_Std_Error,SM_slopeParam_t_value,SM_slopeParam_Pr_t,SM_midPoint_N_Estimate,SM_midPoint_Std_Error,SM_midPoint_t_value,SM_midPoint_Pr_t,SM_residual_Sum_of_Squares,SM_log_likelihood,SM_AIC_value,SM_BIC_value,SM_isThisaFit,SM_startVector_maximum,SM_startVector_slopeParam,SM_startVector_midPoint,SM_model,SM_additionalParameters,SM_maximum_Estimate,SM_slopeParam_Estimate,SM_midPoint_Estimate,SM_dataInputName,SM_betterFit,SM_correctFit,SM_totalFit,SM_maximum_x,SM_maximum_y,SM_midPoint_x,SM_midPoint_y,SM_slope,SM_incrementTime,SM_startPoint_x,SM_startPoint_y,SM_reachMaximum_x,SM_reachMaximum_y,DSM_finalAsymptoteIntensityRatio_N_Estimate,DSM_finalAsymptoteIntensityRatio_Std_Error,DSM_finalAsymptoteIntensityRatio_t_value,DSM_finalAsymptoteIntensityRatio_Pr_t,DSM_maximum_N_Estimate,DSM_maximum_Std_Error,DSM_maximum_t_value,DSM_maximum_Pr_t,DSM_slope1Param_N_Estimate,DSM_slope1Param_Std_Error,DSM_slope1Param_t_value,DSM_slope1Param_Pr_t,DSM_midPoint1Param_N_Estimate,DSM_midPoint1Param_Std_Error,DSM_midPoint1Param_t_value,DSM_midPoint1Param_Pr_t,DSM_slope2Param_N_Estimate,DSM_slope2Param_Std_Error,DSM_slope2Param_t_value,DSM_slope2Param_Pr_t,DSM_midPointDistanceParam_N_Estimate,DSM_midPointDistanceParam_Std_Error,DSM_midPointDistanceParam_t_value,DSM_midPointDistanceParam_Pr_t,DSM_residual_Sum_of_Squares,DSM_log_likelihood,DSM_AIC_value,DSM_BIC_value,DSM_isThisaFit,DSM_startVector_finalAsymptoteIntensityRatio,DSM_startVector_maximum,DSM_startVector_slope1Param,DSM_startVector_midPoint1Param,DSM_startVector_slope2Param,DSM_startVector_midPointDistanceParam,DSM_model,DSM_additionalParameters,DSM_finalAsymptoteIntensityRatio_Estimate,DSM_maximum_Estimate,DSM_slope1Param_Estimate,DSM_midPoint1Param_Estimate,DSM_slope2Param_Estimate,DSM_midPointDistanceParam_Estimate,DSM_dataInputName,DSM_betterFit,DSM_correctFit,DSM_totalFit,DSM_maximum_x,DSM_maximum_y,DSM_midPoint1_x,DSM_midPoint1_y,DSM_midPoint2_x,DSM_midPoint2_y,DSM_slope1,DSM_slope2,DSM_finalAsymptoteIntensity,DSM_incrementTime,DSM_startPoint_x,DSM_startPoint_y,DSM_reachMaximum_x,DSM_warning_reachMaximum_cor,DSM_reachMaximum_y,DSM_decrementTime,DSM_startDeclinePoint_x,DSM_startDeclinePoint_y,DSM_endDeclinePoint_x,DSM_endDeclinePoint_y,DEC_test_name,DEC_test_sm_modelCheck,DEC_test_dsm_modelCheck,DEC_test_dataScalingParameters,DEC_test_sigmoidalFit,DEC_test_doublesigmoidalFit,DEC_test_sigmoidalAdditionalParameters,DEC_test_doublesigmoidalAdditionalParameters,DEC_threshold_AIC,DEC_sigmoidalAIC,DEC_test_sigmoidalAIC,DEC_doublesigmoidalAIC,DEC_test_doublesigmoidalAIC,DEC_dsm_maximum_x,DEC_timeRange,DEC_test_dsm_maximum_x,DEC_sm_tmax_IntensityRatio,DEC_threshold_sm_tmax_IntensityRatio,DEC_test_sm_tmax_IntensityRatio,DEC_dsm_tmax_IntensityRatio,DEC_threshold_dsm_tmax_IntensityRatio,DEC_test_dsm_tmax_IntensityRatio,DEC_sm_startPoint_x,DEC_test_sm_startPoint_x,DEC_dsm_startPoint_x,DEC_test_dsm_startPoint_x,DEC_sm_startIntensity,DEC_threshold_t0_max_int,DEC_test_sm_startIntensity,DEC_dsm_startIntensity,DEC_test_dsm_startIntensity,COMB_maximum_x,COMB_maximum_y,COMB_midPoint1_x,COMB_midPoint1_y,COMB_slope1,COMB_incrementTime,COMB_startPoint_x,COMB_startPoint_y,COMB_reachMaximum_x,COMB_reachMaximum_y,COMB_midPoint2_x,COMB_midPoint2_y,COMB_slope2,COMB_finalAsymptoteIntensity,COMB_decrementTime,COMB_startDeclinePoint_x,COMB_startDeclinePoint_y,COMB_endDeclinePoint_x,COMB_endDeclinePoint_y,DSM_warning_startDeclinePoint_cor
223,WT,2000,SCV099,24,2.87351655540988e-17,4.08015105152801e-15,4.05141588597391e-15,223,4.08015105152801e-15,0.4,FALSE,4.05141588597391e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,WT,2000,SCV099,24,3.58288591960445e-17,0.247334356,0.247334356,224,0.247334356,0.4,FALSE,0.247334356,0.1,TRUE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,WT,2000,SCV099,24,1.09376958105713e-17,3.16040673532791e-15,3.14946903951734e-15,225,3.16040673532791e-15,0.4,FALSE,3.14946903951734e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,WT,2000,SCV099,24,6.93854471668601e-17,2.122001105,2.122001105,226,2.122001105,0.4,TRUE,2.122001105,0.1,TRUE,1c_3a_8,double_sigmoidal,0.644442129568398,0.0588860132770417,10.9438913199385,1.34506145680773e-13,99.2313345628333,160.364076491952,0.618787802939228,0.539564358752595,0.285282525196218,0.0189608253606306,15.0458917146385,4.60175497229197e-18,4.58877431740624,-12.9062329764992,33.8124659529984,40.8572664157727,TRUE,1.40179591309279,37.4476739390986,0.289113936591893,1,TRUE,1.36750691105269,4.13463894011806,6.84678060470924,226,6,20,26,NA,1.36750691105269,6.84678060470924,0.683753455526346,1.41353683132975,0.967436348840121,6.36306243028918,0,7.3304987791293,1.36750691105269,0.0351781696333099,0.0292797540999416,1.20145030976814,0.237210829114669,0.873152037449156,0.0154607479338774,56.4754073466211,1.65024049428589e-37,65.6765111364926,13.8805556869456,4.73154768567803,3.22309371738406e-05,0.295987916025708,0.00367282466966931,80.5886320874551,3.54841171940061e-43,180,59.7946174039119,3.01030440221905,0.00468092997391656,0.529800075451701,0.00483647700144809,109.542560688922,4.34478904554757e-48,0.190251215293998,55.5287582888161,-97.0575165776322,-84.7291157677772,TRUE,0.611367746256292,0.91528839385137,121.594300288023,0.284500339631922,128.095151918768,0.243183982488699,1,TRUE,0.0351781696333099,1.85282958830011,2.73652129735386,7.103709984617,7.5,12.7152018108408,226,3,20,39,16.3216538742359,1.85282958830011,7.10371860542466,0.926425721700795,19.8188999808319,0.959043971732886,1.26757690696126,-3.35184455846904,0.0651791535588369,1.46170980090026,6.37286370497453,0,7.83457350587479,NA,1.85282958830011,0.533333334394774,19.5522333136345,1.85282958830011,20.0855666480292,0.0651791535588369,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,33.8124659529984,FALSE,-97.0575165776322,TRUE,16.3216538742359,24,TRUE,1,0.85,TRUE,0.0351781696333331,0.75,TRUE,6.36306243028918,TRUE,6.37286370497453,TRUE,6.94227697670625e-13,0.05,TRUE,6.68941313783914e-09,TRUE,16.3216538742359,1.85282958830011,7.10371860542466,0.926425721700795,1.26757690696126,1.46170980090026,6.37286370497453,0,7.83457350587479,1.85282958830011,19.8188999808319,0.959043971732886,-3.35184455846904,0.0651791535588369,0.533333334394774,19.5522333136345,1.85282958830011,20.0855666480292,0.0651791535588369,NA
227,WT,2000,SCV099,24,1.46843157475814e-17,3.17434345793247e-15,3.15965914218489e-15,227,3.17434345793247e-15,0.4,FALSE,3.15965914218489e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,WT,2000,SCV099,24,6.56561441719532e-18,2.91579133532655e-15,2.90922572090935e-15,228,2.91579133532655e-15,0.4,FALSE,2.90922572090935e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,WT,2000,SCV099,24,4.53977487049997e-18,0.286844581,0.286844581,229,0.286844581,0.4,FALSE,0.286844581,0.1,TRUE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,WT,2000,SCV099,24,2.51405032351613e-17,3.17913081692334e-15,3.15399031368818e-15,230,3.17913081692334e-15,0.4,FALSE,3.15399031368818e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,WT,2000,SCV099,24,1.62678519263864e-18,3.1396515917246e-15,3.13802480653197e-15,231,3.1396515917246e-15,0.4,FALSE,3.13802480653197e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,WT,2000,SCV099,24,1.27516797743738e-17,3.79022183153987e-15,3.7774701517655e-15,232,3.79022183153987e-15,0.4,FALSE,3.7774701517655e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,WT,2000,SCV099,24,1.64207706460729e-17,3.79541892312676e-15,3.77899815248068e-15,233,3.79541892312676e-15,0.4,FALSE,3.77899815248068e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,WT,2000,SCV099,24,4.86497269943356e-17,1.88308064,1.88308064,234,1.88308064,0.4,TRUE,1.88308064,0.1,TRUE,1c_3a_8,double_sigmoidal,0.653569030296012,0.0553206732218725,11.814191553215,1.27724592449508e-14,180,692.596494411645,0.259891583992074,0.796280498284525,0.293304864325662,0.0123783064338953,23.6950721725962,3.71126937434529e-25,4.05407465331344,-10.2425873860694,28.4851747721388,35.529975234913,TRUE,1.29977185428143,176.827480568243,0.307464041372295,1,TRUE,1.23072318785399,7.5,7.03931674381588,234,3,20,23,NA,1.23072318785399,7.03931674381588,0.615361593926997,2.30760597722624,0.533333333333333,6.77265007714922,0,7.30598341048255,1.23072318785399,0.186086173820241,0.0277681594037647,6.70142270196752,7.1078485016191e-08,0.894735300251063,0.0170013759819337,52.6272285961936,2.17750091947153e-36,180,81.9385625409464,2.19676785164556,0.0343787036204321,0.296739682469409,0.00291150480321781,101.919695320939,6.21229174279266e-47,180,90.8067996448421,1.98223041340522,0.0549172772337807,0.480098614727576,0.00478841191534119,100.262597123156,1.13693338706319e-46,0.222191280673986,52.1921033935213,-90.3842067870426,-78.0558059771877,TRUE,0.762867466546595,0.628205725830048,4.76436544073513,0.350210839339998,136.909358459248,0.0573251549829729,1,TRUE,0.186086173820241,1.68485872182736,7.5,7.12175237926583,7.5,11.5223667534618,234,4,20,29,12.1224908535906,1.68485872182736,7.12175239760783,0.842429418858102,18.6441195768371,0.999192675486462,3.15911010325409,-2.57124339149613,0.313528912972516,0.533333333362407,6.85508573092663,0,7.38841906428904,NA,1.68485872182736,0.533333333355467,18.3774529101594,1.68485872182736,18.9107862435148,0.313528912972516,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,28.4851747721388,FALSE,-90.3842067870426,TRUE,12.1224908535906,24,TRUE,1,0.85,TRUE,0.186086173820241,0.75,TRUE,6.77265007714922,TRUE,6.85508573092663,TRUE,1.45089921784071e-23,0.05,TRUE,1.07036103777862e-23,TRUE,12.1224908535906,1.68485872182736,7.12175239760783,0.842429418858102,3.15911010325409,0.533333333362407,6.85508573092663,0,7.38841906428904,1.68485872182736,18.6441195768371,0.999192675486462,-2.57124339149613,0.313528912972516,0.533333333355467,18.3774529101594,1.68485872182736,18.9107862435148,0.313528912972516,NA
235,WT,2000,SCV099,24,2.02281511668731e-15,2.707258352,2.707258352,235,2.707258352,0.4,TRUE,2.707258352,0.1,TRUE,1c_3a_8,double_sigmoidal,0.615125294445137,0.0554980423688907,11.0837295909728,9.15356239055485e-14,72.7068428235365,102.514789736488,0.709232716668761,0.482293791157146,0.254792011543393,0.0220790303972192,11.5400000343984,2.65362746857912e-14,4.16974627498482,-10.8474409959811,29.6948819919623,36.7396824547365,TRUE,0.509626202378422,124.071508948507,0.11372853313107,1,TRUE,1.66530309091306,3.02945178431402,6.11500827704143,235,5,20,24,NA,1.66530309091306,6.11500827704143,0.832651545456528,1.26123885504755,1.32037090694472,5.45482282356907,0,6.77519373051379,1.66530309091306,0.123619042920681,0.0141669639296334,8.72586699131096,1.64219367623981e-10,0.8668041656915,0.00866629735711011,100.020127393892,1.2430909096344e-46,47.4844382671067,4.65355838079675,10.2038986903129,2.63891921273065e-12,0.270275720551308,0.00236292119629407,114.382028895081,8.81638674692405e-49,180,33.3479768859054,5.39762878617315,4.10725462996515e-06,0.508916572555433,0.00302070679379631,168.4759916456,5.42665444155997e-55,0.0547504120154901,82.3083088353211,-150.616617670642,-138.288216860787,TRUE,0.900798335438594,0.318478414323181,66.6995349214436,0.478916503062937,127.970235560816,0.317302776782308,1,TRUE,0.123619042920681,2.34666281711671,1.97851826112945,6.4866172932314,7.5,12.2139977413304,235,3,20,42,16.0106022873588,2.34666281711671,6.48661728463141,1.17333140829463,18.7005911329269,1.31846968917223,1.16072881864437,-3.8560698861471,0.290092211509516,2.02171495996575,5.47575980464853,0,7.49747476461428,NA,2.34666281711671,0.533333333245698,18.4339244663041,2.34666281711671,18.9672577995498,0.290092211509516,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,29.6948819919623,FALSE,-150.616617670642,TRUE,16.0106022873588,24,TRUE,1,0.85,TRUE,0.123619042920681,0.75,TRUE,5.45482282356907,TRUE,5.47575980464853,TRUE,1.50015005896731e-08,0.05,TRUE,6.26269980521252e-06,TRUE,16.0106022873588,2.34666281711671,6.48661728463141,1.17333140829463,1.16072881864437,2.02171495996575,5.47575980464853,0,7.49747476461428,2.34666281711671,18.7005911329269,1.31846968917223,-3.8560698861471,0.290092211509516,0.533333333245698,18.4339244663041,2.34666281711671,18.9672577995498,0.290092211509516,NA
236,WT,2000,SCV099,24,3.22585868416354e-17,0.265691815,0.265691815,236,0.265691815,0.4,FALSE,0.265691815,0.1,TRUE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,WT,2000,SCV099,24,1.08341311570257e-18,0.323542559,0.323542559,237,0.323542559,0.4,FALSE,0.323542559,0.1,TRUE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,WT,2000,SCV099,24,9.58986955927685e-17,1.434501333,1.434501333,238,1.434501333,0.4,TRUE,1.434501333,0.1,TRUE,1c_6_8,sigmoidal,0.899323744128537,0.00631539451951498,142.401831168198,9.59541769225252e-56,62.4975223275337,5.77638265922275,10.8194913693518,1.89830974343089e-13,0.375655992029699,0.00168526500784292,222.906184060943,1.61319888935198e-63,0.0441184683310329,86.9502967849344,-165.900593569869,-158.855793107095,TRUE,1,1,0.33,1,TRUE,1.29008110975094,2.6040634303139,9.01574380871278,238,1,20,23,NA,1.29008110975094,9.01574380871278,0.645040554875468,0.839863260010298,1.53606089369253,8.24771336186652,0,9.78377425555905,1.29008110975094,0.966142015452426,0.0184185454134774,52.4548488365141,2.45470204120464e-36,0.925372667979668,0.0161511060626112,57.2946932793566,9.74228395935456e-38,57.9287683148101,5.68877042833096,10.1830033474924,2.79212061706023e-12,0.377332951730958,0.00200232810263316,188.447113754607,8.63920434389634e-57,180,641.111451884593,0.28076241575607,0.780456663245713,0.157076783435885,0.035365200109074,4.44156354131819,7.79655212779031e-05,0.0406732061818125,88.6984387136679,-163.396877427336,-151.068476617481,TRUE,0.434667537221685,0.894089355412871,39.6564075970184,0.444002917821053,61.2993290547538,0.0735427032550797,1,TRUE,0.966142015452426,1.3274483257386,2.41369867978375,9.05599084154299,7.5,3.76984280246124,238,2,20,269,11.7935487064828,1.3274483257386,9.05451462901799,0.663724162692727,12.8262695383021,1.30497676307225,0.802442127364096,-0.0844060588885605,1.28250360083804,1.65426051358878,8.2273843722236,0,9.88164488581237,NA,1.3274483257386,0.532482211495029,12.5600284325545,1.3274483257386,13.0925106440496,1.28250360083804,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,-165.900593569869,TRUE,-163.396877427336,TRUE,11.7935487064828,24,TRUE,1,0.85,TRUE,0.966142015452426,0.75,FALSE,8.24771336186652,TRUE,8.2273843722236,TRUE,8.21180181841063e-11,0.05,TRUE,4.27361251351394e-10,TRUE,NA,1.29008110975094,9.01574380871278,0.645040554875468,0.839863260010298,1.53606089369253,8.24771336186652,0,9.78377425555905,1.29008110975094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
