Cell,Mutation,MOI,dataSet,SCALING_timeRange,SCALING_intensityMin,SCALING_intensityMax,SCALING_intensityRange,DEC_dataInputName,DEC_intensityMaximum,DEC_threshold_minimum_for_intensity_maximum,DEC_test_minimum_for_intensity_maximum,DEC_intensityRange,DEC_threshold_intensity_range,DEC_test_intensity_range,DEC_decisonSteps,DEC_decision,SM_maximum_N_Estimate,SM_maximum_Std_Error,SM_maximum_t_value,SM_maximum_Pr_t,SM_slopeParam_N_Estimate,SM_slopeParam_Std_Error,SM_slopeParam_t_value,SM_slopeParam_Pr_t,SM_midPoint_N_Estimate,SM_midPoint_Std_Error,SM_midPoint_t_value,SM_midPoint_Pr_t,SM_residual_Sum_of_Squares,SM_log_likelihood,SM_AIC_value,SM_BIC_value,SM_isThisaFit,SM_startVector_maximum,SM_startVector_slopeParam,SM_startVector_midPoint,SM_model,SM_additionalParameters,SM_maximum_Estimate,SM_slopeParam_Estimate,SM_midPoint_Estimate,SM_dataInputName,SM_betterFit,SM_correctFit,SM_totalFit,SM_maximum_x,SM_maximum_y,SM_midPoint_x,SM_midPoint_y,SM_slope,SM_incrementTime,SM_startPoint_x,SM_startPoint_y,SM_reachMaximum_x,SM_reachMaximum_y,DSM_finalAsymptoteIntensityRatio_N_Estimate,DSM_finalAsymptoteIntensityRatio_Std_Error,DSM_finalAsymptoteIntensityRatio_t_value,DSM_finalAsymptoteIntensityRatio_Pr_t,DSM_maximum_N_Estimate,DSM_maximum_Std_Error,DSM_maximum_t_value,DSM_maximum_Pr_t,DSM_slope1Param_N_Estimate,DSM_slope1Param_Std_Error,DSM_slope1Param_t_value,DSM_slope1Param_Pr_t,DSM_midPoint1Param_N_Estimate,DSM_midPoint1Param_Std_Error,DSM_midPoint1Param_t_value,DSM_midPoint1Param_Pr_t,DSM_slope2Param_N_Estimate,DSM_slope2Param_Std_Error,DSM_slope2Param_t_value,DSM_slope2Param_Pr_t,DSM_midPointDistanceParam_N_Estimate,DSM_midPointDistanceParam_Std_Error,DSM_midPointDistanceParam_t_value,DSM_midPointDistanceParam_Pr_t,DSM_residual_Sum_of_Squares,DSM_log_likelihood,DSM_AIC_value,DSM_BIC_value,DSM_isThisaFit,DSM_startVector_finalAsymptoteIntensityRatio,DSM_startVector_maximum,DSM_startVector_slope1Param,DSM_startVector_midPoint1Param,DSM_startVector_slope2Param,DSM_startVector_midPointDistanceParam,DSM_model,DSM_additionalParameters,DSM_finalAsymptoteIntensityRatio_Estimate,DSM_maximum_Estimate,DSM_slope1Param_Estimate,DSM_midPoint1Param_Estimate,DSM_slope2Param_Estimate,DSM_midPointDistanceParam_Estimate,DSM_dataInputName,DSM_betterFit,DSM_correctFit,DSM_totalFit,DSM_maximum_x,DSM_maximum_y,DSM_midPoint1_x,DSM_midPoint1_y,DSM_midPoint2_x,DSM_midPoint2_y,DSM_slope1,DSM_slope2,DSM_finalAsymptoteIntensity,DSM_incrementTime,DSM_startPoint_x,DSM_startPoint_y,DSM_reachMaximum_x,DSM_reachMaximum_y,DSM_decrementTime,DSM_startDeclinePoint_x,DSM_startDeclinePoint_y,DSM_endDeclinePoint_x,DSM_endDeclinePoint_y,DEC_test_name,DEC_test_sm_modelCheck,DEC_test_dsm_modelCheck,DEC_test_dataScalingParameters,DEC_test_sigmoidalFit,DEC_test_doublesigmoidalFit,DEC_test_sigmoidalAdditionalParameters,DEC_test_doublesigmoidalAdditionalParameters,DEC_threshold_AIC,DEC_sigmoidalAIC,DEC_test_sigmoidalAIC,DEC_doublesigmoidalAIC,DEC_test_doublesigmoidalAIC,DEC_dsm_maximum_x,DEC_timeRange,DEC_test_dsm_maximum_x,DEC_sm_tmax_IntensityRatio,DEC_threshold_sm_tmax_IntensityRatio,DEC_test_sm_tmax_IntensityRatio,DEC_dsm_tmax_IntensityRatio,DEC_threshold_dsm_tmax_IntensityRatio,DEC_test_dsm_tmax_IntensityRatio,DEC_sm_startPoint_x,DEC_test_sm_startPoint_x,DEC_dsm_startPoint_x,DEC_test_dsm_startPoint_x,DEC_sm_startIntensity,DEC_threshold_t0_max_int,DEC_test_sm_startIntensity,DEC_dsm_startIntensity,DEC_test_dsm_startIntensity,COMB_maximum_x,COMB_maximum_y,COMB_midPoint1_x,COMB_midPoint1_y,COMB_midPoint2_x,COMB_midPoint2_y,COMB_slope1,COMB_slope2,COMB_finalAsymptoteIntensity,COMB_incrementTime,COMB_startPoint_x,COMB_startPoint_y,COMB_reachMaximum_x,COMB_reachMaximum_y,COMB_decrementTime,COMB_startDeclinePoint_x,COMB_startDeclinePoint_y,COMB_endDeclinePoint_x,COMB_endDeclinePoint_y,DSM_warning_reachMaximum_cor,DSM_warning_startDeclinePoint_cor
1,HR,50,SCV040,24,1.07036728566047e-15,2.80330143538304e-15,1.73293414972257e-15,1,2.80330143538304e-15,0.05,FALSE,1.73293414972257e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,HR,50,SCV040,24,1.0718411122309e-15,2.77695961895864e-15,1.70511850672774e-15,2,2.77695961895864e-15,0.05,FALSE,1.70511850672774e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,HR,50,SCV040,24,9.33345951359719e-16,0.0876518650000001,0.0876518649999992,3,0.0876518650000001,0.05,TRUE,0.0876518649999992,0.1,FALSE,1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,HR,50,SCV040,24,1.66042586607393e-15,3.07475362832192e-15,1.41432776224799e-15,4,3.07475362832192e-15,0.05,FALSE,1.41432776224799e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,HR,50,SCV040,24,8.0258309360221e-16,2.29533781750128e-15,1.49275472389907e-15,5,2.29533781750128e-15,0.05,FALSE,1.49275472389907e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,HR,50,SCV040,24,1.16858795803506e-15,0.785583663,0.785583662999999,6,0.785583663,0.05,TRUE,0.785583662999999,0.1,TRUE,1c_8_9,double_sigmoidal,0.58313103896656,0.0322785609362828,18.0655835344596,7.6728276969316e-21,72.3220917896682,56.613605636334,1.27746839256697,0.20880196416779,0.380670556228725,0.0123503067201771,30.8227613170781,1.71727214407144e-29,1.1582306768029,16.6932339749238,-25.3864679498476,-18.3416674870734,TRUE,0.907105162739754,84.2501203204855,0.0591642745328136,1,TRUE,0.458098217600347,3.01342049123617,9.13609334948941,6,7,20,21,NA,0.458098217600347,9.13609334948941,0.229049108800173,0.345110638978913,1.32739523462891,8.47239573217496,0,9.79979096680387,0.458098217600347,0.527796881316111,0.0333054118876768,15.8471807253463,4.49139217519216e-18,0.8109367174415,0.0296151250759226,27.382518742114,3.65623629658465e-26,42.6140078656005,9.75194132498158,4.36979740192202,9.68363265165735e-05,0.398375205876508,0.00622021278449497,64.0452697807271,1.6455690292569e-39,180,134.298954979368,1.34029337776793,0.188322612478572,0.278254598761855,0.0105190559151546,26.4524308080707,1.23601137024497e-25,0.265809127819123,48.3384465954129,-82.6768931908258,-70.3484923809709,TRUE,0.595231347717345,1.22406623940915,114.157276996069,0.696344071107451,78.0717834297242,0.223098975373432,1,TRUE,0.527796881316111,0.63705863694889,1.77558366106669,9.56100494103619,7.5,6.67811037028453,6,3,20,39,14.8055629268398,0.63705863694889,9.56086289694501,0.318524735622751,16.23914297226,0.486648235864548,0.282819318692581,-0.564096642732825,0.336237561797117,2.25252871654557,8.43459853867223,0,10.6871272552178,0.63705863694889,0.533279321951667,15.9725033112841,0.63705863694889,16.5057826332358,0.336237561797117,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,-25.3864679498476,TRUE,-82.6768931908258,TRUE,14.8055629268398,24,TRUE,1,0.85,TRUE,0.527796881316111,0.75,TRUE,8.47239573217496,TRUE,8.43459853867223,TRUE,5.06342752656004e-13,0.05,TRUE,2.70076399705493e-08,TRUE,14.8055629268398,0.63705863694889,9.56086289694501,0.318524735622751,16.23914297226,0.486648235864548,0.282819318692581,-0.564096642732825,0.336237561797117,2.25252871654557,8.43459853867223,0,10.6871272552178,0.63705863694889,0.533279321951667,15.9725033112841,0.63705863694889,16.5057826332358,0.336237561797117,NA,NA
7,HR,50,SCV040,24,1.37928795627318e-15,3.20462615037803e-15,1.82533819410484e-15,7,3.20462615037803e-15,0.05,FALSE,1.82533819410484e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,HR,50,SCV040,24,2.45039891999681e-15,3.83192644831259e-15,1.38152752831578e-15,8,3.83192644831259e-15,0.05,FALSE,1.38152752831578e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,HR,50,SCV040,24,2.15318496313877e-16,2.55007249996532e-15,2.33475400365144e-15,9,2.55007249996532e-15,0.05,FALSE,2.33475400365144e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,HR,50,SCV040,24,9.10302349898964e-16,1.624915525,1.624915525,10,1.624915525,0.05,TRUE,1.624915525,0.1,TRUE,1c_8_9,double_sigmoidal,0.698583855875269,0.03008925166248,23.2170564994932,7.94563672962916e-25,83.3922478521359,56.683689746679,1.4711859482828,0.149064777026087,0.32120917448838,0.00944198433749401,34.0192445790088,3.82201721763106e-31,1.12163698072911,17.3834775841541,-26.7669551683082,-19.722154705534,TRUE,0.712546413391828,123.9316393098,0.235470502397511,1,TRUE,1.13513975292609,3.474676993839,7.70902018772111,10,5,20,24,NA,1.13513975292609,7.70902018772111,0.567569876463044,0.98606099607109,1.15118614106936,7.13342711718643,0,8.28461325825579,1.13513975292609,0.524309133738465,0.0505188864479999,10.3784776467341,1.65055345368634e-12,0.963414904787857,0.0389602549316126,24.728146837821,1.31407609593748e-24,43.620386706098,9.7839619296334,4.45835613627867,7.4101218727571e-05,0.340891486186732,0.00795747634250921,42.8391454167037,3.91078077733221e-33,12.4641442730521,5.71014143124911,2.18280832850152,0.0354709601453345,0.274557793845374,0.0485795418163249,5.65171641353584,1.86063061114347e-06,0.251115960414528,49.5610152959545,-85.1220305919089,-72.793629782054,TRUE,0.718214608263224,0.983744414895773,63.0957215086464,0.810204140653368,146.670850908053,0.167498101645615,1,TRUE,0.524309133738465,1.56546783580619,1.81751611275408,8.18139566848156,0.519339344710505,6.58938705228898,10,3,20,55,10.2093800127873,1.56546783580619,8.09301465834695,0.782720612207119,15.1881027283886,1.19312690516474,0.756020114306421,-0.107119312079777,0.820789084886971,2.07066955783625,7.05767987942883,0,9.12834943726507,1.56546783580619,6.95186270767513,11.7121713745511,1.56546783580619,18.6640340822262,0.820789084886971,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,-26.7669551683082,TRUE,-85.1220305919089,TRUE,10.2093800127873,24,TRUE,1,0.85,TRUE,0.528691742343591,0.75,TRUE,7.13342711718643,TRUE,7.05767987942883,TRUE,2.64169775187185e-12,0.05,TRUE,6.11179025512781e-07,TRUE,10.2093800127873,1.56546783580619,8.09301465834695,0.782720612207119,15.1881027283886,1.19312690516474,0.756020114306421,-0.107119312079777,0.820789084886971,2.07066955783625,7.05767987942883,0,9.12834943726507,1.56546783580619,6.95186270767513,11.7121713745511,1.56546783580619,18.6640340822262,0.820789084886971,NA,NA
