Cell,Mutation,MOI,dataSet,SCALING_timeRange,SCALING_intensityMin,SCALING_intensityMax,SCALING_intensityRange,DEC_dataInputName,DEC_intensityMaximum,DEC_threshold_minimum_for_intensity_maximum,DEC_test_minimum_for_intensity_maximum,DEC_intensityRange,DEC_threshold_intensity_range,DEC_test_intensity_range,DEC_decisonSteps,DEC_decision,SM_maximum_N_Estimate,SM_maximum_Std_Error,SM_maximum_t_value,SM_maximum_Pr_t,SM_slopeParam_N_Estimate,SM_slopeParam_Std_Error,SM_slopeParam_t_value,SM_slopeParam_Pr_t,SM_midPoint_N_Estimate,SM_midPoint_Std_Error,SM_midPoint_t_value,SM_midPoint_Pr_t,SM_residual_Sum_of_Squares,SM_log_likelihood,SM_AIC_value,SM_BIC_value,SM_isThisaFit,SM_startVector_maximum,SM_startVector_slopeParam,SM_startVector_midPoint,SM_model,SM_additionalParameters,SM_maximum_Estimate,SM_slopeParam_Estimate,SM_midPoint_Estimate,SM_dataInputName,SM_betterFit,SM_correctFit,SM_totalFit,SM_maximum_x,SM_maximum_y,SM_midPoint_x,SM_midPoint_y,SM_slope,SM_incrementTime,SM_startPoint_x,SM_startPoint_y,SM_reachMaximum_x,SM_reachMaximum_y,DSM_finalAsymptoteIntensityRatio_N_Estimate,DSM_finalAsymptoteIntensityRatio_Std_Error,DSM_finalAsymptoteIntensityRatio_t_value,DSM_finalAsymptoteIntensityRatio_Pr_t,DSM_maximum_N_Estimate,DSM_maximum_Std_Error,DSM_maximum_t_value,DSM_maximum_Pr_t,DSM_slope1Param_N_Estimate,DSM_slope1Param_Std_Error,DSM_slope1Param_t_value,DSM_slope1Param_Pr_t,DSM_midPoint1Param_N_Estimate,DSM_midPoint1Param_Std_Error,DSM_midPoint1Param_t_value,DSM_midPoint1Param_Pr_t,DSM_slope2Param_N_Estimate,DSM_slope2Param_Std_Error,DSM_slope2Param_t_value,DSM_slope2Param_Pr_t,DSM_midPointDistanceParam_N_Estimate,DSM_midPointDistanceParam_Std_Error,DSM_midPointDistanceParam_t_value,DSM_midPointDistanceParam_Pr_t,DSM_residual_Sum_of_Squares,DSM_log_likelihood,DSM_AIC_value,DSM_BIC_value,DSM_isThisaFit,DSM_startVector_finalAsymptoteIntensityRatio,DSM_startVector_maximum,DSM_startVector_slope1Param,DSM_startVector_midPoint1Param,DSM_startVector_slope2Param,DSM_startVector_midPointDistanceParam,DSM_model,DSM_additionalParameters,DSM_finalAsymptoteIntensityRatio_Estimate,DSM_maximum_Estimate,DSM_slope1Param_Estimate,DSM_midPoint1Param_Estimate,DSM_slope2Param_Estimate,DSM_midPointDistanceParam_Estimate,DSM_dataInputName,DSM_betterFit,DSM_correctFit,DSM_totalFit,DSM_maximum_x,DSM_maximum_y,DSM_midPoint1_x,DSM_midPoint1_y,DSM_midPoint2_x,DSM_midPoint2_y,DSM_slope1,DSM_slope2,DSM_finalAsymptoteIntensity,DSM_incrementTime,DSM_startPoint_x,DSM_startPoint_y,DSM_reachMaximum_x,DSM_reachMaximum_y,DSM_decrementTime,DSM_startDeclinePoint_x,DSM_startDeclinePoint_y,DSM_endDeclinePoint_x,DSM_endDeclinePoint_y,DEC_test_name,DEC_test_sm_modelCheck,DEC_test_dsm_modelCheck,DEC_test_dataScalingParameters,DEC_test_sigmoidalFit,DEC_test_doublesigmoidalFit,DEC_test_sigmoidalAdditionalParameters,DEC_test_doublesigmoidalAdditionalParameters,DEC_threshold_AIC,DEC_sigmoidalAIC,DEC_test_sigmoidalAIC,DEC_doublesigmoidalAIC,DEC_test_doublesigmoidalAIC,DEC_dsm_maximum_x,DEC_timeRange,DEC_test_dsm_maximum_x,DEC_sm_tmax_IntensityRatio,DEC_threshold_sm_tmax_IntensityRatio,DEC_test_sm_tmax_IntensityRatio,DEC_dsm_tmax_IntensityRatio,DEC_threshold_dsm_tmax_IntensityRatio,DEC_test_dsm_tmax_IntensityRatio,DEC_sm_startPoint_x,DEC_test_sm_startPoint_x,DEC_dsm_startPoint_x,DEC_test_dsm_startPoint_x,DEC_sm_startIntensity,DEC_threshold_t0_max_int,DEC_test_sm_startIntensity,DEC_dsm_startIntensity,DEC_test_dsm_startIntensity,COMB_maximum_x,COMB_maximum_y,COMB_midPoint1_x,COMB_midPoint1_y,COMB_midPoint2_x,COMB_midPoint2_y,COMB_slope1,COMB_slope2,COMB_finalAsymptoteIntensity,COMB_incrementTime,COMB_startPoint_x,COMB_startPoint_y,COMB_reachMaximum_x,COMB_reachMaximum_y,COMB_decrementTime,COMB_startDeclinePoint_x,COMB_startDeclinePoint_y,COMB_endDeclinePoint_x,COMB_endDeclinePoint_y,DSM_warning_startDeclinePoint_cor,DSM_warning_reachMaximum_cor
1,HR,5000,SCV041,24,9.27885730548762e-16,2.42020987601019e-15,1.49232414546143e-15,1,2.42020987601019e-15,0.05,FALSE,1.49232414546143e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,HR,5000,SCV041,24,1.30889624720439e-15,2.7601386078028e-15,1.45124236059841e-15,2,2.7601386078028e-15,0.05,FALSE,1.45124236059841e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,HR,5000,SCV041,24,1.35329136523884e-15,3.03216220894363e-15,1.67887084370479e-15,3,3.03216220894363e-15,0.05,FALSE,1.67887084370479e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,HR,5000,SCV041,24,2.03267820436973e-15,1.785484672,1.785484672,4,1.785484672,0.05,TRUE,1.785484672,0.1,TRUE,1c_3a_8,double_sigmoidal,0.511940383034787,0.0481083101629774,10.6414127060476,3.1194337559793e-13,95.3617123005029,166.142521186786,0.573975353325067,0.569198192758326,0.270853718173469,0.0197406240170336,13.7206259508189,1.02478624536138e-16,3.11388842244503,-4.56980763967745,17.1396152793549,24.1844157421291,TRUE,0.649241580907255,111.135875385508,0.35922047784552,1,TRUE,0.914061706886423,3.97340467918762,6.50048923616326,4,3,20,22,NA,0.914061706886423,6.50048923616326,0.457030853443211,0.907984265802184,1.00669333303796,5.99714256964428,0,7.00383590268224,0.914061706886423,0.273822195680422,0.0102936460998366,26.6010889654316,1.01473891720836e-25,0.938544215311721,0.0135159718572491,69.4396396518348,8.45900921942493e-41,47.6882592683176,4.29617735239895,11.1001607607491,2.47420173752327e-13,0.294194801748995,0.00218979222374713,134.348272205285,2.32283615894632e-51,53.3917996905521,7.14019347287932,7.47764047197752,6.61034259876515e-09,0.287476325920605,0.00390127269290799,73.6878317794089,9.54618824602811e-42,0.0488424387211761,84.7632930691955,-155.526586138391,-143.198185328536,TRUE,0.744400961091742,0.405644058063626,125.299961493055,0.552607999762986,39.0748082913342,0.373072412675247,1,TRUE,0.273822195680422,1.67575631043335,1.98701080284657,7.06067524197589,2.22465832043967,6.89943182209453,4,2,20,48,10.6781966080451,1.67575631043335,7.05924336054178,0.837883192934428,13.9613901934612,1.06730805382802,0.833625292309681,-0.677759944757901,0.458859272348182,2.01020329624407,6.05414171241975,0,8.06434500866381,1.67575631043335,1.79546910008062,13.0636556434208,1.67575631043335,14.8591247435015,0.458859272348182,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,17.1396152793549,FALSE,-155.526586138391,TRUE,10.6781966080451,24,TRUE,1,0.85,TRUE,0.273822195825484,0.75,TRUE,5.99714256964428,TRUE,6.05414171241975,TRUE,5.54052671494994e-12,0.05,TRUE,1.35468124469412e-06,TRUE,10.6781966080451,1.67575631043335,7.05924336054178,0.837883192934428,13.9613901934612,1.06730805382802,0.833625292309681,-0.677759944757901,0.458859272348182,2.01020329624407,6.05414171241975,0,8.06434500866381,1.67575631043335,1.79546910008062,13.0636556434208,1.67575631043335,14.8591247435015,0.458859272348182,NA,NA
5,HR,5000,SCV041,24,1.36288346221671e-15,1.964972736,1.964972736,5,1.964972736,0.05,TRUE,1.964972736,0.1,TRUE,1c_8_9,double_sigmoidal,0.819186521148557,0.0236372790908582,34.6565490046348,1.8629267663221e-31,53.4268218841844,19.9314913453652,2.68052304558775,0.0106243343155794,0.291173080381782,0.00796631396285358,36.5505404054502,2.3631453630897e-32,0.698015136023285,27.5810071291776,-47.1620142583552,-40.117213795581,TRUE,0.365405205823481,2.55085344147636,-0.247189594169613,1,TRUE,1.6096791797556,2.22611757850768,6.98815392916277,5,3,20,29,NA,1.6096791797556,6.98815392916277,0.804839589877801,0.895833779452943,1.79685028258097,6.08972878787228,0,7.88657907045326,1.6096791797556,0.715758746905856,0.0486339083752313,14.7172779408036,4.81164275885217e-17,0.943836166101173,0.0307525376127903,30.6913262893994,6.38904336229228e-28,40.2209454485075,8.58937285556926,4.68264052857231,3.74371283520294e-05,0.300609596110896,0.00624618018678432,48.1269491307546,5.67807504405466e-35,20.7740362928388,13.6231107878328,1.52491135221427,0.135784295760235,0.408856795892855,0.0372709698818069,10.9698458931821,3.4681084652631e-13,0.309228209154154,45.0854738345822,-76.1709476691643,-63.8425468593094,TRUE,0.286490494618192,1.02282741134986,164.982167047823,0.176137710097246,40.8690169197763,0.485359944917727,1,TRUE,0.715758746905856,1.85461233363957,1.67587272702115,7.2146303066615,0.865584845534951,9.81256310142852,5,3,20,68,10.8172269602818,1.85461233363957,7.20654181208404,0.927305997588269,17.0433196905209,1.59103366548043,0.782126538682407,-0.114870971668068,1.32745499992201,2.3712433243397,6.0209201499142,0,8.39216347425389,1.85461233363957,4.58912574745901,14.7487568167914,1.85461233363957,19.3378825642504,1.32745499992201,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,-47.1620142583552,TRUE,-76.1709476691643,TRUE,10.8172269602818,24,TRUE,1,0.85,TRUE,0.71644184424456,0.75,TRUE,6.08972878787228,TRUE,6.0209201499142,TRUE,2.82265537568202e-07,0.05,TRUE,1.04790898255894e-05,TRUE,10.8172269602818,1.85461233363957,7.20654181208404,0.927305997588269,17.0433196905209,1.59103366548043,0.782126538682407,-0.114870971668068,1.32745499992201,2.3712433243397,6.0209201499142,0,8.39216347425389,1.85461233363957,4.58912574745901,14.7487568167914,1.85461233363957,19.3378825642504,1.32745499992201,NA,NA
6,HR,5000,SCV041,24,1.34890576235484e-15,2.868761114,2.868761114,6,2.868761114,0.05,TRUE,2.868761114,0.1,TRUE,1c_8_9,double_sigmoidal,0.739283092148312,0.0168198452457866,43.9530258064356,1.7622734136657e-35,72.3486063291545,25.4126602221379,2.84695131075372,0.00693347461237874,0.262725156555316,0.00555553912952014,47.2906680036307,9.95545907737733e-37,0.378704888983418,40.7279032959082,-73.4558065918164,-66.4110061290421,TRUE,0.604653471987694,98.4581038717344,0.836453825125936,1,TRUE,2.12082658699275,3.01452526371477,6.30540375732759,6,4,20,25,NA,2.12082658699275,6.30540375732759,1.06041329349638,1.59832133161191,1.32690876674586,5.64194937395466,0,6.96885814070052,2.12082658699275,0.611049436272538,0.137319896030051,4.4498244896633,7.60403732731276e-05,0.881814171152097,0.0193490068425793,45.57413092705,4.12881635233814e-34,47.761284910896,6.02413528546848,7.92832209895859,1.70688865637102e-09,0.275725249992559,0.00433670035302141,63.5795022822961,2.1506742812316e-39,5.31975711343446,4.26572226734377,1.24709410975015,0.22019960686618,0.357706625096186,0.0949455693412244,3.76749149621322,0.0005743874910182,0.0666199125321016,78.0896083814431,-142.179216762886,-129.850815953031,TRUE,0.503180096158758,1.01287118503824,52.5173012834927,0.265124836934265,64.4257473533508,0.378173858153168,1,TRUE,0.611049436272538,2.52971420397528,1.990053537954,6.61740599982142,0.221656546393103,8.58495900230846,6,4,20,49,8.55388354618336,2.52971420397528,6.52999621444973,1.26483032559372,17.0624194462844,2.03774751725676,1.33195091232922,-0.0656072128920234,1.54578043826973,1.89925483030864,5.58036879929541,0,7.47962362960406,2.52971420397528,14.99734133387,9.56374877934939,2.52971420397528,24.5610901132194,1.54578043826973,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,-73.4558065918164,TRUE,-142.179216762886,TRUE,8.55388354618336,24,TRUE,1,0.85,TRUE,0.671851933410189,0.75,TRUE,5.64194937395466,TRUE,5.58036879929541,TRUE,1.17902488266796e-08,0.05,TRUE,5.85940348181083e-06,TRUE,8.55388354618336,2.52971420397528,6.52999621444973,1.26483032559372,17.0624194462844,2.03774751725676,1.33195091232922,-0.0656072128920234,1.54578043826973,1.89925483030864,5.58036879929541,0,7.47962362960406,2.52971420397528,14.99734133387,9.56374877934939,2.52971420397528,24.5610901132194,1.54578043826973,NA,NA
7,HR,5000,SCV041,24,1.20727036095224e-15,1.087871053,1.087871053,7,1.087871053,0.05,TRUE,1.087871053,0.1,TRUE,1c_8_9,double_sigmoidal,0.788806671402732,0.0208196642748984,37.8875788287216,5.84085841491418e-33,71.5246255706877,29.1115606441134,2.45691484716572,0.0184476240262582,0.257318025290756,0.00650318084020702,39.5680254960532,1.0757418674082e-33,0.584092847425952,31.4118950142657,-54.8237900285313,-47.7789895657571,TRUE,1.14102986985818,15.2583888646937,-0.320595412934199,1,TRUE,0.858119944232315,2.98019273211199,6.17563260697815,7,3,20,25,NA,0.858119944232315,6.17563260697815,0.429059972116157,0.639340705270372,1.34219507245268,5.50453507075181,0,6.84673014320449,0.858119944232315,0.695129357273274,0.017732301989166,39.201303795637,9.73338865653442e-32,0.875794144643079,0.00960437347255324,91.1870146601303,3.75282830980602e-45,62.4832229555764,7.88454964434163,7.9247675230782,1.72507138200107e-09,0.261679276913702,0.0023096441883006,113.298523746309,1.25258591103835e-48,180,100.422283900062,1.79243085308766,0.0812437768129265,0.518840343499749,0.0063526913750641,81.6725247406678,2.17031149310132e-43,0.0717153997937278,76.5050156897336,-139.010031379467,-126.681630569612,TRUE,0.0860150179360062,1.06980548221618,70.6635353309382,0.369511484252289,132.372967806626,0.342206183820963,1,TRUE,0.695129357273274,0.952751098344101,2.60346762314901,6.28030264592884,7.5,12.452168243994,7,6,20,60,15.4191476122919,0.952751098344101,6.28030340934615,0.47637602260775,18.7324713950153,0.807517903412616,0.620114159367395,-0.544623449472148,0.662285258633341,1.53641242334483,5.51209719767373,0,7.04850962101856,0.952751098344101,0.53333333331916,18.4658047283557,0.952751098344101,18.9991380616748,0.662285258633341,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,-54.8237900285313,TRUE,-139.010031379467,TRUE,15.4191476122919,24,TRUE,1,0.85,TRUE,0.695129357273274,0.75,TRUE,5.50453507075181,TRUE,5.51209719767373,TRUE,8.72052132535778e-09,0.05,TRUE,7.55126029703986e-08,TRUE,15.4191476122919,0.952751098344101,6.28030340934615,0.47637602260775,18.7324713950153,0.807517903412616,0.620114159367395,-0.544623449472148,0.662285258633341,1.53641242334483,5.51209719767373,0,7.04850962101856,0.952751098344101,0.53333333331916,18.4658047283557,0.952751098344101,18.9991380616748,0.662285258633341,NA,NA
8,HR,5000,SCV041,24,2.50794673523866e-15,0.081901781,0.0819017809999975,8,0.081901781,0.05,TRUE,0.0819017809999975,0.1,FALSE,1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,HR,5000,SCV041,24,1.02983864947688e-15,1.421861291,1.421861291,9,1.421861291,0.05,TRUE,1.421861291,0.1,TRUE,1c_3a_8,double_sigmoidal,0.579900991159609,0.0453068676332964,12.7994059499588,9.98167514420055e-16,113.632905001608,156.417699728826,0.726470886597918,0.471780193709733,0.281125678136779,0.0156494421612627,17.9639424357664,9.38574149380024e-21,2.74795620760308,-1.88198936029746,11.7639787205949,18.8087791833692,TRUE,1.1543405637145,13.7105057815369,0.494333331796806,1,TRUE,0.824538771942382,4.73470437506698,6.7470162752827,9,4,20,28,NA,0.824538771942382,6.7470162752827,0.412269385971191,0.975986832731988,0.844825713103453,6.32460341873097,0,7.16942913183442,0.824538771942382,0.0649088618971686,0.0499717484478088,1.29891116307368,0.202011130901138,0.72894449042736,0.0177582846012123,41.0481365062478,1.83963615121293e-32,88.9588179328322,31.9469876865656,2.78457608603397,0.00839766446646039,0.287861156773585,0.00454184899992511,63.3797285595209,2.41377086478822e-39,123.927611670015,62.2909388755381,1.9894966090916,0.0540766508346157,0.570398914921703,0.0063480367382352,89.8543815107596,6.4549185743274e-45,0.280882841360082,47.1525246315167,-80.3050492630334,-67.9766484531785,TRUE,0.416652716463432,0.47665647463873,4.49031837469898,0.333027075328864,172.887609269661,0.42909002821194,1,TRUE,0.0649088618971686,1.03645795422638,3.70661741386801,6.90866776256603,5.16365048625063,13.6895739581209,9,3,20,39,14.8437959343985,1.03645795422638,6.90865336990243,0.518215153848335,20.5982417246048,0.551866625318041,0.960438274747825,-1.25113011288184,0.0672753062131022,1.07915103081301,6.36907785449592,0,7.44822888530893,1.03645795422638,0.774645768680985,20.2109188402644,1.03645795422638,20.9855646089453,0.0672753062131022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,11.7639787205949,FALSE,-80.3050492630334,TRUE,14.8437959343985,24,TRUE,1,0.85,TRUE,0.0649088838888385,0.75,TRUE,6.32460341873097,TRUE,6.36907785449592,TRUE,1.10310917054951e-14,0.05,TRUE,7.8384567156415e-12,TRUE,14.8437959343985,1.03645795422638,6.90865336990243,0.518215153848335,20.5982417246048,0.551866625318041,0.960438274747825,-1.25113011288184,0.0672753062131022,1.07915103081301,6.36907785449592,0,7.44822888530893,1.03645795422638,0.774645768680985,20.2109188402644,1.03645795422638,20.9855646089453,0.0672753062131022,NA,NA
10,HR,5000,SCV041,24,8.5120910529606e-16,2.889886828,2.889886828,10,2.889886828,0.05,TRUE,2.889886828,0.1,TRUE,1c_8_9,double_sigmoidal,0.474805438386343,0.0333955119728056,14.217642142243,3.12751768648483e-17,47.4039415433381,41.1195128430085,1.15283324791135,0.255821775401333,0.267971256169484,0.0208881114551892,12.828888659674,9.26572422038837e-16,1.42433752955838,12.2467490567389,-16.4934981134778,-9.44869765070352,TRUE,0.48962719598785,132.083558445685,0.418701659427024,1,TRUE,1.37213398225546,1.97516423097242,6.43131014806761,10,4,20,23,NA,1.37213398225546,6.43131014806761,0.686066991127729,0.677547490463181,2.02514805466617,5.41873612073453,0,7.4438841754007,1.37213398225546,0,0.529783906158242,0,1,0.755638402524975,0.0276888045948581,27.2903945685434,4.11810360941952e-26,22.9480068315084,3.47620546638847,6.60145295017607,9.68221582833529e-08,0.329992616722846,0.0192792920219163,17.1164281524299,3.62441423272926e-19,4.25139965983209,6.01755814026288,0.70649914146843,0.484303353753225,0.208211303422013,0.541049645520351,0.384828462870107,0.702567756223375,0.151520578097193,60.4226729956044,-106.845345991209,-94.5169451813538,TRUE,0.227109969826415,1.05554354740307,11.9472979112715,0.33169973755721,60.5580048620654,0.136814833115786,1,TRUE,0,2.18370946618789,0.956166951312848,7.9198228013483,0.177141652493004,4.99707128212831,10,3,20,43,10.5678923224133,2.18370946618789,7.42842974826526,1.09185918627888,18.2737311201788,1.0918557759365,0.589344788581858,-0.139378713156132,0,3.70531734308291,5.57577107672381,0,9.28108841980671,2.18370946618789,15.6674532052947,10.5678923224133,2.18370946618789,26.1074577228262,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,-16.4934981134778,TRUE,-106.845345991209,TRUE,10.5678923224133,24,TRUE,0.999999999999999,0.85,TRUE,0.220562182797736,0.75,TRUE,5.41873612073453,TRUE,5.57577107672381,TRUE,4.17444298296335e-06,0.05,TRUE,0.00182584033615431,TRUE,10.5678923224133,2.18370946618789,7.42842974826526,1.09185918627888,18.2737311201788,1.0918557759365,0.589344788581858,-0.139378713156132,0,3.70531734308291,5.57577107672381,0,9.28108841980671,2.18370946618789,15.6674532052947,10.5678923224133,2.18370946618789,26.1074577228262,0,TRUE,NA
