"","Cell","Mutation","MOI","dataSet","COMB_maximum_x","COMB_maximum_y","COMB_midPoint1_x","COMB_midPoint1_y","COMB_midPoint2_x","COMB_midPoint2_y","COMB_slope1","COMB_slope2","COMB_finalAsymptoteIntensity","COMB_incrementTime","COMB_startPoint_x","COMB_startPoint_y","COMB_reachMaximum_x","COMB_reachMaximum_y","COMB_decrementTime","COMB_startDeclinePoint_x","COMB_startDeclinePoint_y","COMB_endDeclinePoint_x","COMB_endDeclinePoint_y","Dirt","Dried_wells","Out_of_focus","Multiple_infections","DDOM","decision_bio","dataSet_bio","decision"
"1","7","WT","500","SCV029",6.64495586744341,1.74272228660407,5.00639652893609,0.871360736029008,16.0616423823011,0.871361309293086,1.25953714711358,-0.111583524899557,0,1.38362119021085,4.31458593383066,0,5.69820712404151,1.74272228660407,15.6180967411882,8.25259401170704,1.74272228660407,23.8706907528952,0,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
"2","18","WT","500","SCV029",10.8658455230001,1.78899171171543,8.61192942825899,0.894497577724821,17.7479377353489,0.89449361727349,0.73074421284199,-0.130702218138305,0,2.44817773480235,7.38784056085782,0,9.83601829566016,1.78899171171543,13.6875390272442,10.9041682217268,1.78899171171543,24.591707248971,0,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
"3","19","WT","500","SCV029",10.9948211486845,3.12826050866834,7.256794726639,1.56410753786662,17.8284852722493,2.67552325542385,1.48739607615337,-0.211977705581271,2.22278600037325,2.10317921286877,6.20520512020462,0,8.30838433307338,3.12826050866834,4.2715553780156,15.6927075832415,3.12826050866834,19.9642629612571,2.22278600037325,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
"4","41","WT","500","SCV029",8.74525173873601,1.3574336520693,5.46435436506012,0.678711968389332,17.2366310044213,0.703752494791586,0.677708851490322,-0.208038061544347,0.05006691168332,2.0029746536204,4.46286703824992,0,6.46584169187032,1.3574336520693,6.28426707440406,14.0944974672193,1.3574336520693,20.3787645416233,0.05006691168332,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
"5","52","WT","500","SCV029",11.2302543930553,2.42491294369941,6.15656777315789,1.21245646643753,16.7845974313783,1.57498100246055,0.962906262796936,-0.608654224221183,0.725049060384168,2.51832710762085,4.89740421934747,0,7.41573132696831,2.42491294369941,2.79282360274479,15.3881856300059,2.42491294369941,18.1810092327507,0.725049060384168,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
"6","60","WT","500","SCV029",14.1893001654695,1.02374330848528,4.88952567976583,0.511871654535298,19.7024166694608,0.511868248923644,1.04017656478624,-1.91951870325372,0,0.984201474194588,4.39742494266854,0,5.38162641686312,1.02374330848528,0.533333333376727,19.4357500027724,1.02374330848528,19.9690833361492,0,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
"7","106","WT","500","SCV029",9.39160270872169,1.83695848314287,7.69253278519932,0.918463839014839,13.0450373598304,1.14237351728736,0.857606406245992,-0.181052549782142,0.447781342043066,2.1419598428419,6.62155286377837,0,8.76351270662027,1.83695848314287,7.67278418763712,9.39160270872169,1.83695848314287,16.881429453649,0.447781342043066,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
"8","139","WT","500","SCV029",10.2419439430475,2.69539898404966,5.78341813672844,1.34769949214014,14.8520945758375,2.06174412677758,1.07524087484453,-0.486308634236228,1.42808913014376,2.50678619750146,4.53002503797771,0,7.03681123547917,2.69539898404966,2.60597851793495,13.54910531687,2.69539898404966,16.155083834805,1.42808913014376,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
"9","171","WT","500","SCV029",12.5775193842753,1.5927643090313,5.33986175558625,0.796384267095489,16.6403027715514,0.813832856622437,1.64239872949556,-2.92094979288578,0.0349244190909891,0.969779311458973,4.85497209985676,0,5.82475141131573,1.5927643090313,0.533333333470696,16.3736361048161,1.5927643090313,16.9069694382868,0.0349244190909891,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
"10","183","WT","500","SCV029",7.59298605154079,2.03332068319805,6.07509157935772,1.01666966128848,15.1501613658837,1.01666034026466,2.0644105421778,-0.281091833194876,0,0.984940079337632,5.58262153968891,0,6.56756161902654,2.03332068319805,7.23365264685004,11.5333350424586,2.03332068319805,18.7669876893087,0,0,0,0,0,0,"infection&lysis","WT_500_samp29","double_sigmoidal"
