"","Cell","Mutation","MOI","dataSet","COMB_maximum_x","COMB_maximum_y","COMB_midPoint1_x","COMB_midPoint1_y","COMB_midPoint2_x","COMB_midPoint2_y","COMB_slope1","COMB_slope2","COMB_finalAsymptoteIntensity","COMB_incrementTime","COMB_startPoint_x","COMB_startPoint_y","COMB_reachMaximum_x","COMB_reachMaximum_y","COMB_decrementTime","COMB_startDeclinePoint_x","COMB_startDeclinePoint_y","COMB_endDeclinePoint_x","COMB_endDeclinePoint_y","Dirt","Dried_wells","Out_of_focus","Multiple_infections","DDOM","decision_bio","dataSet_bio","decision"
"1","15","WT","500","SCV035",17.1579048529155,0.881031167511985,5.69395947017251,0.44051542362723,20.8139598883865,0.440515417360312,0.504373992060251,-1.65193343902674,0,1.74678151804215,4.82056871115143,0,6.56735022919358,0.881031167511985,0.533333333352135,20.5472932217104,0.881031167511985,21.0806265550626,0,0,0,0,0,0,"infection&lysis","Control","double_sigmoidal"
"2","19","WT","500","SCV035",NA,0.731492789947912,12.8841352561293,0.365746394973956,NA,NA,0.133576411315079,NA,NA,5.4762123248129,10.1460290937229,0,15.6222414185358,0.731492789947912,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"3","20","WT","500","SCV035",20.0739143152484,0.980179783078864,10.5582462483162,0.490089220012677,21.6267645390505,0.495330837506117,0.248323416659109,-1.81830612692122,0.0104713857305986,3.94719030635933,8.58465109513657,0,12.5318414014959,0.980179783078864,0.533303156707824,21.3601129606966,0.980179783078864,21.8934161174044,0.0104713857305986,0,0,0,0,0,"infection&lysis","Control","double_sigmoidal"
"4","33","WT","500","SCV035",NA,1.96786940769032,8.52699403207774,0.983934703845158,NA,NA,0.637869660462317,NA,NA,3.08506506840917,6.98446149787316,0,10.0695265662823,1.96786940769032,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"5","45","WT","500","SCV035",15.9757187042754,1.52054840653633,7.51829510196557,0.760274268823588,22.6382955740406,0.760274297722297,0.694521529197763,-0.896076851012821,0,2.18934668345372,6.42362176023872,0,8.61296844369243,1.52054840653633,1.6968950875337,21.7898480302737,1.52054840653633,23.4867431178075,0,0,0,0,0,0,"infection&lysis","Control","double_sigmoidal"
"6","46","WT","500","SCV035",16.3959460347414,2.06660832902677,7.52740987295737,1.03330420338095,18.7482237899399,1.18681990863999,0.9457270565838,-3.29920601835528,0.30703197775229,2.18520588434032,6.43480693078721,0,8.62001281512753,2.06660832902677,0.533333275183483,18.4815571523481,2.06660832902677,19.0148904275316,0.30703197775229,0,0,0,0,0,"infection&lysis","Control","double_sigmoidal"
"7","65","WT","500","SCV035",10.565335186427,2.14747570407751,6.38295558610529,1.07375001356607,15.1464448310437,1.13290597845565,0.832183224526902,-0.705888620022854,0.118336253948635,2.58053231642389,5.09268942789334,0,7.67322174431724,2.14747570407751,2.87458869936617,13.7091504813606,2.14747570407751,16.5837391807268,0.118336253948635,0,0,0,0,0,"infection&lysis","Control","double_sigmoidal"
"8","77","WT","500","SCV035",9.53447840990789,0.879639348833523,6.79489847559479,0.43981967183778,16.9669144960613,0.489534661896562,0.40600054000602,-0.0985290484108632,0.0994317610651601,2.16659649965116,5.71160022576921,0,7.87819672542037,0.879639348833523,7.91855397318891,13.0076375094668,0.879639348833523,20.9261914826557,0.0994317610651601,0,0,0,0,0,"infection&lysis","Control","double_sigmoidal"
"9","91","WT","500","SCV035",17.1277510430907,1.90308073970445,11.3457763161081,0.951542701361722,19.9712320885158,1.51619776435359,0.463044976872773,-0.440987946527989,1.12929574088047,4.10992632412757,9.29081315404434,0,13.4007394781719,1.90308073970445,1.75466246847831,19.0939008542766,1.90308073970445,20.8485633227549,1.12929574088047,0,0,0,0,0,"infection&lysis","Control","double_sigmoidal"
"10","93","WT","500","SCV035",9.36034656204269,1.79749235441759,6.76786469773867,0.898743913207356,17.73434739495,0.898746154896716,0.850091001807403,-0.179939268118064,0,2.11447051032876,5.71062944257429,0,7.82509995290305,1.79749235441759,9.98943906584188,12.7396278620291,1.79749235441759,22.729066927871,0,0,0,0,0,0,"infection&lysis","Control","double_sigmoidal"
