"","Cell","Mutation","MOI","dataSet","COMB_maximum_x","COMB_maximum_y","COMB_midPoint1_x","COMB_midPoint1_y","COMB_midPoint2_x","COMB_midPoint2_y","COMB_slope1","COMB_slope2","COMB_finalAsymptoteIntensity","COMB_incrementTime","COMB_startPoint_x","COMB_startPoint_y","COMB_reachMaximum_x","COMB_reachMaximum_y","COMB_decrementTime","COMB_startDeclinePoint_x","COMB_startDeclinePoint_y","COMB_endDeclinePoint_x","COMB_endDeclinePoint_y","Dirt","Dried_wells","Out_of_focus","Multiple_infections","DDOM","decision_bio","dataSet_bio","decision"
"1","19","WT","500","SCV035",NA,0.731492789947912,12.8841352561293,0.365746394973956,NA,NA,0.133576411315079,NA,NA,5.4762123248129,10.1460290937229,0,15.6222414185358,0.731492789947912,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"2","33","WT","500","SCV035",NA,1.96786940769032,8.52699403207774,0.983934703845158,NA,NA,0.637869660462317,NA,NA,3.08506506840917,6.98446149787316,0,10.0695265662823,1.96786940769032,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"3","124","WT","500","SCV035",NA,0.35899740037668,6.81003901835963,0.17949870018834,NA,NA,0.325349594552712,NA,NA,1.10342046336411,6.25832878667757,0,7.36174925004169,0.35899740037668,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"4","272","WT","500","SCV035",NA,0.435874189849487,5.31211518560419,0.217937094924744,NA,NA,0.357530400847886,NA,NA,1.21912483194662,4.70255276963088,0,5.9216776015775,0.435874189849487,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"5","328","WT","500","SCV035",NA,0.719731751696509,8.56877015459464,0.359865875848254,NA,NA,0.209669718130889,NA,NA,3.43269289486623,6.85242370716152,0,10.2851166020278,0.719731751696509,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"6","522","WT","500","SCV035",NA,0.874927992976526,7.34012087194138,0.437463996488263,NA,NA,0.197842802984207,NA,NA,4.42233925004776,5.1289512469175,0,9.55129049696526,0.874927992976526,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"7","525","WT","500","SCV035",NA,0.852316714660116,14.502289771422,0.426158357330058,NA,NA,0.236765484974578,NA,NA,3.5998351480649,12.7023721973895,0,16.3022073454544,0.852316714660116,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"8","613","WT","500","SCV035",NA,1.02153804625226,8.59108453827825,0.510769023126128,NA,NA,0.134029714659693,NA,NA,7.62172812831829,4.7802204741191,0,12.4019486024374,1.02153804625226,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"9","653","WT","500","SCV035",NA,2.03370416613445,10.0529156672436,1.01685208306723,NA,NA,0.585281008176976,NA,NA,3.47474826232445,8.31554153608134,0,11.7902897984058,2.03370416613445,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"10","672","WT","500","SCV035",NA,1.23512423841904,12.6220789697693,0.617562119209518,NA,NA,0.45346928213782,NA,NA,2.7237219522262,11.2602179936562,0,13.9839399458824,1.23512423841904,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"11","723","WT","500","SCV035",NA,2.12299985295441,12.2787997659113,1.0614999264772,NA,NA,0.529140407263021,NA,NA,4.01216732612734,10.2727161028476,0,14.284883428975,2.12299985295441,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"12","743","WT","500","SCV035",NA,0.306621952904657,11.7359896222892,0.153310976452328,NA,NA,0.0828465610725845,NA,NA,3.70108244608989,9.88544839924428,0,13.5865308453342,0.306621952904657,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"13","846","WT","500","SCV035",NA,1.64257169816327,10.4107155379699,0.821285849081635,NA,NA,0.237467918118074,NA,NA,6.91702572364554,6.95220267614716,0,13.8692283997927,1.64257169816327,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"14","999","WT","500","SCV035",NA,2.19511376469646,5.17929175444986,1.09755688234823,NA,NA,2.54915872363062,NA,NA,0.861113019110121,4.7487352448948,0,5.60984826400492,2.19511376469646,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"15","1055","WT","500","SCV035",NA,0.9591248900737,7.63227440023949,0.47956244503685,NA,NA,0.651803232623911,NA,NA,1.47149452790013,6.89652713628943,0,8.36802166418956,0.9591248900737,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"16","1121","WT","500","SCV035",NA,0.799659900889422,9.48120805334122,0.399829950444711,NA,NA,0.211102086334133,NA,NA,3.78802462247444,7.587195742104,0,11.3752203645784,0.799659900889422,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"17","1141","WT","500","SCV035",NA,1.01946252041669,10.4783739462744,0.509731260208345,NA,NA,0.134643896401795,NA,NA,7.57154648417543,6.69260070418668,0,14.2641471883621,1.01946252041669,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"18","1147","WT","500","SCV035",NA,1.67621814805224,12.3016604044381,0.838109074026122,NA,NA,0.521843502640475,NA,NA,3.21210887856369,10.6956059651563,0,13.90771484372,1.67621814805224,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"19","1201","WT","500","SCV035",NA,0.880525682978944,7.98956946810065,0.440262841489472,NA,NA,0.13169219539764,NA,NA,6.68624044363622,4.64644924628254,0,11.3326896899188,0.880525682978944,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"20","1343","WT","500","SCV035",NA,0.871094742647112,8.80241423185197,0.435547371323556,NA,NA,0.190282520079,NA,NA,4.57790207048686,6.51346319660854,0,11.0913652670954,0.871094742647112,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"21","1357","WT","500","SCV035",NA,1.87661520414897,9.88319870104186,0.938307602074487,NA,NA,0.399078621315231,NA,NA,4.70236966832318,7.53201386688027,0,12.2343835352035,1.87661520414897,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"22","1361","WT","500","SCV035",NA,0.291263551256204,18.7574387553284,0.145631775628102,NA,NA,0.249823145933662,NA,NA,1.16587896676934,18.1744992719437,0,19.340378238713,0.291263551256204,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"23","1367","WT","500","SCV035",NA,1.69019380253525,10.2030010534321,0.845096901267626,NA,NA,0.90892012107164,NA,NA,1.85956253289064,9.27321978698674,0,11.1327823198774,1.69019380253525,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"24","1536","WT","500","SCV035",NA,0.368177225375474,14.0712063960271,0.184088612687737,NA,NA,0.0659772548480349,NA,NA,5.58036593404038,11.2810234290069,0,16.8613893630473,0.368177225375474,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"25","1566","WT","500","SCV035",NA,1.04867886735956,18.3142308060647,0.52433943367978,NA,NA,0.253642447097618,NA,NA,4.13447701423556,16.2469922989469,0,20.3814693131825,1.04867886735956,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"26","1589","WT","500","SCV035",NA,0.392177321299475,12.4495811753413,0.196088660649737,NA,NA,0.105847742762102,NA,NA,3.70510802654444,10.5970271620691,0,14.3021351886135,0.392177321299475,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"27","1618","WT","500","SCV035",NA,0.77330413624963,7.82541034185649,0.386652068124815,NA,NA,0.0916019784087024,NA,NA,8.44200256024344,3.60440906173478,0,12.0464116219782,0.77330413624963,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"28","1637","WT","500","SCV035",NA,1.40042085872397,6.65943165924243,0.700210429361985,NA,NA,1.39583003969631,NA,NA,1.00328895273572,6.15778718287457,0,7.16107613561029,1.40042085872397,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","Control","sigmoidal"
"29","7","WT","500","SCV036",NA,0.333015304032494,7.67967557501526,0.166507652016247,NA,NA,0.137406972450306,NA,NA,2.42356918352837,6.46789098325108,0,8.89146016677945,0.333015304032494,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","G0/G1 phase","sigmoidal"
"30","114","WT","500","SCV036",NA,1.83396174693433,5.78809546673493,0.916980873467166,NA,NA,1.47719205500297,NA,NA,1.24151882669762,5.16733605338613,0,6.40885488008374,1.83396174693433,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","G0/G1 phase","sigmoidal"
"31","152","WT","500","SCV036",NA,0.481738671817016,14.4078387134491,0.240869335908508,NA,NA,0.124173576518789,NA,NA,3.87955864140003,12.468059392749,0,16.3476180341491,0.481738671817016,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","G0/G1 phase","sigmoidal"
"32","194","WT","500","SCV036",NA,0.259245996651804,7.64781286513855,0.129622998325902,NA,NA,0.0745058104218228,NA,NA,3.47954065842724,5.90804253592493,0,9.38758319435217,0.259245996651804,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","G0/G1 phase","sigmoidal"
"33","198","WT","500","SCV036",NA,1.55259341474685,15.5309826401967,0.776296707373427,NA,NA,0.687620541431076,NA,NA,2.25792180599433,14.4020217371995,0,16.6599435431938,1.55259341474685,NA,NA,NA,NA,NA,0,0,0,0,0,"infection","G0/G1 phase","sigmoidal"
