"","time","density","group","colour"
"1",-1.40860157499996,0,1,"#e41a1c"
"2",-1.35990236855834,0,1,"#e41a1c"
"3",-1.31120316211673,0,1,"#e41a1c"
"4",-1.26250395567511,0,1,"#e41a1c"
"5",-1.21380474923349,8.26623078113937e-19,1,"#e41a1c"
"6",-1.16510554279188,3.59032854451951e-18,1,"#e41a1c"
"7",-1.11640633635026,5.6933280424652e-18,1,"#e41a1c"
"8",-1.06770712990865,2.04700962543742e-18,1,"#e41a1c"
"9",-1.01900792346703,1.26656664708823e-17,1,"#e41a1c"
"10",-0.970308717025413,2.8583669743364e-17,1,"#e41a1c"
"11",-0.921609510583796,3.7662202723183e-17,1,"#e41a1c"
"12",-0.87291030414218,8.11241923473932e-17,1,"#e41a1c"
"13",-0.824211097700564,1.26417633979963e-16,1,"#e41a1c"
"14",-0.775511891258947,2.12841856067212e-16,1,"#e41a1c"
"15",-0.726812684817331,3.57063333422173e-16,1,"#e41a1c"
"16",-0.678113478375715,5.84646205145283e-16,1,"#e41a1c"
"17",-0.629414271934098,9.77907111261121e-16,1,"#e41a1c"
"18",-0.580715065492482,1.66446845856732e-15,1,"#e41a1c"
"19",-0.532015859050865,2.78646457840628e-15,1,"#e41a1c"
"20",-0.483316652609249,4.58850723905165e-15,1,"#e41a1c"
"21",-0.434617446167633,7.41629364524393e-15,1,"#e41a1c"
"22",-0.385918239726016,1.18224280933565e-14,1,"#e41a1c"
"23",-0.3372190332844,1.96922245220666e-14,1,"#e41a1c"
"24",-0.288519826842784,3.23664862903891e-14,1,"#e41a1c"
"25",-0.239820620401167,5.23603340367466e-14,1,"#e41a1c"
"26",-0.191121413959551,8.32126612270033e-14,1,"#e41a1c"
"27",-0.142422207517935,1.29591877728442e-13,1,"#e41a1c"
"28",-0.0937230010763181,2.09998486282772e-13,1,"#e41a1c"
"29",-0.0450237946347019,3.37903288762852e-13,1,"#e41a1c"
"30",0.00367541180691444,5.35930579471992e-13,1,"#e41a1c"
"31",0.0523746182485307,8.36572463003954e-13,1,"#e41a1c"
"32",0.101073824690147,1.28259994169508e-12,1,"#e41a1c"
"33",0.149773031131764,2.00984187832878e-12,1,"#e41a1c"
"34",0.19847223757338,3.16599252177906e-12,1,"#e41a1c"
"35",0.247171444014996,4.92125902772351e-12,1,"#e41a1c"
"36",0.295870650456613,7.53954533079973e-12,1,"#e41a1c"
"37",0.344569856898229,1.13669573518908e-11,1,"#e41a1c"
"38",0.393269063339845,1.72688594811649e-11,1,"#e41a1c"
"39",0.441968269781462,2.66233992011875e-11,1,"#e41a1c"
"40",0.490667476223078,4.05424311988833e-11,1,"#e41a1c"
"41",0.539366682664694,6.09262826566306e-11,1,"#e41a1c"
"42",0.588065889106311,9.02490366286643e-11,1,"#e41a1c"
"43",0.636765095547927,1.33215032769785e-10,1,"#e41a1c"
"44",0.685464301989543,2.00959997844798e-10,1,"#e41a1c"
"45",0.73416350843116,2.99704913684834e-10,1,"#e41a1c"
"46",0.782862714872776,4.41575927674003e-10,1,"#e41a1c"
"47",0.831561921314392,6.4220092193121e-10,1,"#e41a1c"
"48",0.880261127756009,9.22746019437976e-10,1,"#e41a1c"
"49",0.928960334197625,1.36180225463060e-09,1,"#e41a1c"
"50",0.977659540639242,1.98846132261275e-09,1,"#e41a1c"
"51",1.02635874708086,2.87124446768184e-09,1,"#e41a1c"
"52",1.07505795352247,4.09736417808998e-09,1,"#e41a1c"
"53",1.12375715996409,5.77417407637115e-09,1,"#e41a1c"
"54",1.17245636640571,8.28621781092636e-09,1,"#e41a1c"
"55",1.22115557284732,1.18435361839923e-08,1,"#e41a1c"
"56",1.26985477928894,1.67545122276238e-08,1,"#e41a1c"
"57",1.31855398573056,2.34488721601687e-08,1,"#e41a1c"
"58",1.36725319217217,3.24511171200911e-08,1,"#e41a1c"
"59",1.41595239861379,4.52832666224071e-08,1,"#e41a1c"
"60",1.46465160505541,6.33446853410511e-08,1,"#e41a1c"
"61",1.51335081149702,8.77695151301751e-08,1,"#e41a1c"
"62",1.56205001793864,1.20425468722371e-07,1,"#e41a1c"
"63",1.61074922438025,1.63566607645137e-07,1,"#e41a1c"
"64",1.65944843082187,2.2232770262192e-07,1,"#e41a1c"
"65",1.70814763726349,3.04342694974909e-07,1,"#e41a1c"
"66",1.7568468437051,4.12948380816576e-07,1,"#e41a1c"
"67",1.80554605014672,5.55295265508345e-07,1,"#e41a1c"
"68",1.85424525658834,7.3989658446217e-07,1,"#e41a1c"
"69",1.90294446302995,9.81095483498307e-07,1,"#e41a1c"
"70",1.95164366947157,1.3141786679472e-06,1,"#e41a1c"
"71",2.00034287591319,1.74596765047837e-06,1,"#e41a1c"
"72",2.0490420823548,2.30053448638771e-06,1,"#e41a1c"
"73",2.09774128879642,3.00609792996753e-06,1,"#e41a1c"
"74",2.14644049523803,3.89519615163082e-06,1,"#e41a1c"
"75",2.19513970167965,5.10368245819089e-06,1,"#e41a1c"
"76",2.24383890812127,6.63899821895964e-06,1,"#e41a1c"
"77",2.29253811456288,8.57070376851467e-06,1,"#e41a1c"
"78",2.3412373210045,1.09807445456431e-05,1,"#e41a1c"
"79",2.38993652744612,1.39623454089637e-05,1,"#e41a1c"
"80",2.43863573388773,1.78432452128691e-05,1,"#e41a1c"
"81",2.48733494032935,2.2728232257286e-05,1,"#e41a1c"
"82",2.53603414677097,2.87483278650048e-05,1,"#e41a1c"
"83",2.58473335321258,3.61115909409273e-05,1,"#e41a1c"
"84",2.6334325596542,4.50510793575147e-05,1,"#e41a1c"
"85",2.68213176609581,5.62379471647253e-05,1,"#e41a1c"
"86",2.73083097253743,7.01601613886629e-05,1,"#e41a1c"
"87",2.77953017897905,8.69660382853421e-05,1,"#e41a1c"
"88",2.82822938542066,0.000107116601626492,1,"#e41a1c"
"89",2.87692859186228,0.000131119546790397,1,"#e41a1c"
"90",2.9256277983039,0.000160108174822621,1,"#e41a1c"
"91",2.97432700474551,0.000195712622807005,1,"#e41a1c"
"92",3.02302621118713,0.00023782354783777,1,"#e41a1c"
"93",3.07172541762874,0.000287331731459275,1,"#e41a1c"
"94",3.12042462407036,0.000345200676697016,1,"#e41a1c"
"95",3.16912383051198,0.000412902588682633,1,"#e41a1c"
"96",3.21782303695359,0.000494849204785231,1,"#e41a1c"
"97",3.26652224339521,0.000589872777119001,1,"#e41a1c"
"98",3.31522144983683,0.000699476912258833,1,"#e41a1c"
"99",3.36392065627844,0.000825259048263066,1,"#e41a1c"
"100",3.41261986272006,0.000968911080006856,1,"#e41a1c"
"101",3.46131906916168,0.00113887319290858,1,"#e41a1c"
"102",3.51001827560329,0.00133294923096206,1,"#e41a1c"
"103",3.55871748204491,0.00155280624853551,1,"#e41a1c"
"104",3.60741668848653,0.00180077882647149,1,"#e41a1c"
"105",3.65611589492814,0.00207930196794742,1,"#e41a1c"
"106",3.70481510136976,0.00239915429304882,1,"#e41a1c"
"107",3.75351430781137,0.00276056615081013,1,"#e41a1c"
"108",3.80221351425299,0.00316331133055134,1,"#e41a1c"
"109",3.85091272069461,0.00361045400573639,1,"#e41a1c"
"110",3.89961192713622,0.00410515070158578,1,"#e41a1c"
"111",3.94831113357784,0.00465916194128318,1,"#e41a1c"
"112",3.99701034001946,0.00527881111735817,1,"#e41a1c"
"113",4.04570954646107,0.00595944742848774,1,"#e41a1c"
"114",4.09440875290269,0.00670478101411368,1,"#e41a1c"
"115",4.1431079593443,0.00751859964902192,1,"#e41a1c"
"116",4.19180716578592,0.00841137706147481,1,"#e41a1c"
"117",4.24050637222754,0.00940068250963035,1,"#e41a1c"
"118",4.28920557866915,0.0104741374692549,1,"#e41a1c"
"119",4.33790478511077,0.0116359605700504,1,"#e41a1c"
"120",4.38660399155239,0.0128904189747202,1,"#e41a1c"
"121",4.435303197994,0.0142436384956084,1,"#e41a1c"
"122",4.48400240443562,0.0157306367547407,1,"#e41a1c"
"123",4.53270161087724,0.0173273272538742,1,"#e41a1c"
"124",4.58140081731885,0.019038101825412,1,"#e41a1c"
"125",4.63010002376047,0.0208673206175229,1,"#e41a1c"
"126",4.67879923020208,0.0228193067541947,1,"#e41a1c"
"127",4.7274984366437,0.0249335914541757,1,"#e41a1c"
"128",4.77619764308532,0.0271888940398875,1,"#e41a1c"
"129",4.82489684952693,0.0295826664514213,1,"#e41a1c"
"130",4.87359605596855,0.0321184639878828,1,"#e41a1c"
"131",4.92229526241017,0.0347996385772458,1,"#e41a1c"
"132",4.97099446885178,0.0376592330308008,1,"#e41a1c"
"133",5.0196936752934,0.0406892728490026,1,"#e41a1c"
"134",5.06839288173502,0.0438742736992488,1,"#e41a1c"
"135",5.11709208817663,0.0472155796978303,1,"#e41a1c"
"136",5.16579129461825,0.0507141251760924,1,"#e41a1c"
"137",5.21449050105987,0.0543906970405078,1,"#e41a1c"
"138",5.26318970750148,0.0582527340306193,1,"#e41a1c"
"139",5.3118889139431,0.0622698560254403,1,"#e41a1c"
"140",5.36058812038471,0.0664398205480617,1,"#e41a1c"
"141",5.40928732682633,0.0707598335159027,1,"#e41a1c"
"142",5.45798653326795,0.0752353078946599,1,"#e41a1c"
"143",5.50668573970956,0.0798852892746492,1,"#e41a1c"
"144",5.55538494615118,0.0846675150952397,1,"#e41a1c"
"145",5.6040841525928,0.0895755004959631,1,"#e41a1c"
"146",5.65278335903441,0.0946021951804344,1,"#e41a1c"
"147",5.70148256547603,0.09973998498821,1,"#e41a1c"
"148",5.75018177191764,0.105006732794852,1,"#e41a1c"
"149",5.79888097835926,0.110358527521218,1,"#e41a1c"
"150",5.84758018480088,0.115784468723947,1,"#e41a1c"
"151",5.89627939124249,0.121273540578644,1,"#e41a1c"
"152",5.94497859768411,0.12681424128246,1,"#e41a1c"
"153",5.99367780412573,0.132398465318309,1,"#e41a1c"
"154",6.04237701056734,0.137999928230434,1,"#e41a1c"
"155",6.09107621700896,0.143602277254177,1,"#e41a1c"
"156",6.13977542345058,0.149191259336995,1,"#e41a1c"
"157",6.18847462989219,0.154752264351245,1,"#e41a1c"
"158",6.23717383633381,0.160258203860684,1,"#e41a1c"
"159",6.28587304277542,0.165685099259277,1,"#e41a1c"
"160",6.33457224921704,0.171023302596635,1,"#e41a1c"
"161",6.38327145565866,0.176256645123302,1,"#e41a1c"
"162",6.43197066210027,0.18136887335473,1,"#e41a1c"
"163",6.48066986854189,0.186326026650571,1,"#e41a1c"
"164",6.52936907498351,0.1910864733833,1,"#e41a1c"
"165",6.57806828142512,0.195662930321523,1,"#e41a1c"
"166",6.62676748786674,0.200040055378533,1,"#e41a1c"
"167",6.67546669430835,0.20420293419624,1,"#e41a1c"
"168",6.72416590074997,0.208126812344442,1,"#e41a1c"
"169",6.77286510719159,0.211734811987755,1,"#e41a1c"
"170",6.82156431363321,0.215077530903543,1,"#e41a1c"
"171",6.87026352007482,0.218144656611202,1,"#e41a1c"
"172",6.91896272651644,0.220926897333859,1,"#e41a1c"
"173",6.96766193295805,0.223416003013617,1,"#e41a1c"
"174",7.01636113939967,0.225516758299143,1,"#e41a1c"
"175",7.06506034584129,0.227301976905774,1,"#e41a1c"
"176",7.1137595522829,0.228777629029101,1,"#e41a1c"
"177",7.16245875872452,0.22994338317101,1,"#e41a1c"
"178",7.21115796516614,0.230800185830691,1,"#e41a1c"
"179",7.25985717160775,0.231284935221856,1,"#e41a1c"
"180",7.30855637804937,0.231444787621309,1,"#e41a1c"
"181",7.35725558449098,0.231315109087949,1,"#e41a1c"
"182",7.4059547909326,0.230904265216802,1,"#e41a1c"
"183",7.45465399737422,0.230221539524977,1,"#e41a1c"
"184",7.50335320381583,0.229240048056524,1,"#e41a1c"
"185",7.55205241025745,0.227978078122982,1,"#e41a1c"
"186",7.60075161669907,0.226489340677725,1,"#e41a1c"
"187",7.64945082314068,0.224786802526604,1,"#e41a1c"
"188",7.6981500295823,0.222883627432663,1,"#e41a1c"
"189",7.74684923602392,0.220778739124781,1,"#e41a1c"
"190",7.79554844246553,0.218470063195227,1,"#e41a1c"
"191",7.84424764890715,0.216012110506069,1,"#e41a1c"
"192",7.89294685534876,0.213417320874915,1,"#e41a1c"
"193",7.94164606179038,0.210697761770577,1,"#e41a1c"
"194",7.990345268232,0.207863163791951,1,"#e41a1c"
"195",8.03904447467361,0.20490323590007,1,"#e41a1c"
"196",8.08774368111523,0.20186034972886,1,"#e41a1c"
"197",8.13644288755685,0.198743538562608,1,"#e41a1c"
"198",8.18514209399846,0.195561349232071,1,"#e41a1c"
"199",8.23384130044008,0.192321847212792,1,"#e41a1c"
"200",8.28254050688169,0.1890226387816,1,"#e41a1c"
"201",8.33123971332331,0.185684004650217,1,"#e41a1c"
"202",8.37993891976493,0.182314037494246,1,"#e41a1c"
"203",8.42863812620655,0.178918365906736,1,"#e41a1c"
"204",8.47733733264816,0.175502357856516,1,"#e41a1c"
"205",8.52603653908978,0.172069754838867,1,"#e41a1c"
"206",8.57473574553139,0.168629406889636,1,"#e41a1c"
"207",8.62343495197301,0.165187390237036,1,"#e41a1c"
"208",8.67213415841463,0.161748155807689,1,"#e41a1c"
"209",8.72083336485624,0.158316094132376,1,"#e41a1c"
"210",8.76953257129786,0.154897983600685,1,"#e41a1c"
"211",8.81823177773948,0.151501712583179,1,"#e41a1c"
"212",8.86693098418109,0.148129251456612,1,"#e41a1c"
"213",8.91563019062271,0.144784729332774,1,"#e41a1c"
"214",8.96432939706432,0.141472213524684,1,"#e41a1c"
