"","time","density","group","colour"
"1",-1.37968496031767,6.30603256865703e-14,1,"#e41a1c"
"2",-1.33198548028059,9.59075635717117e-14,1,"#e41a1c"
"3",-1.28428600024352,1.43499336455131e-13,1,"#e41a1c"
"4",-1.23658652020644,2.11603076452394e-13,1,"#e41a1c"
"5",-1.18888704016937,3.23953673462835e-13,1,"#e41a1c"
"6",-1.14118756013229,4.89695365774554e-13,1,"#e41a1c"
"7",-1.09348808009522,7.29852256792416e-13,1,"#e41a1c"
"8",-1.04578860005814,1.07048789284036e-12,1,"#e41a1c"
"9",-0.998089120021066,1.57569871609171e-12,1,"#e41a1c"
"10",-0.95038963998399,2.3637975213104e-12,1,"#e41a1c"
"11",-0.902690159946915,3.50214994628142e-12,1,"#e41a1c"
"12",-0.85499067990984,5.11744263567086e-12,1,"#e41a1c"
"13",-0.807291199872764,7.36173151377383e-12,1,"#e41a1c"
"14",-0.759591719835689,1.08023973093986e-11,1,"#e41a1c"
"15",-0.711892239798614,1.58849630801242e-11,1,"#e41a1c"
"16",-0.664192759761539,2.3076131253028e-11,1,"#e41a1c"
"17",-0.616493279724463,3.30744975953436e-11,1,"#e41a1c"
"18",-0.568793799687388,4.67898325314144e-11,1,"#e41a1c"
"19",-0.521094319650313,6.82085785388478e-11,1,"#e41a1c"
"20",-0.473394839613237,9.83536445664174e-11,1,"#e41a1c"
"21",-0.425695359576162,1.40153084152079e-10,1,"#e41a1c"
"22",-0.377995879539087,1.97134011459391e-10,1,"#e41a1c"
"23",-0.330296399502012,2.77594211861648e-10,1,"#e41a1c"
"24",-0.282596919464936,3.96839771629899e-10,1,"#e41a1c"
"25",-0.234897439427861,5.61337025366425e-10,1,"#e41a1c"
"26",-0.187197959390786,7.84998097396644e-10,1,"#e41a1c"
"27",-0.139498479353711,1.08413976498908e-09,1,"#e41a1c"
"28",-0.0917989993166353,1.51766460260057e-09,1,"#e41a1c"
"29",-0.0440995192795599,2.128428989693e-09,1,"#e41a1c"
"30",0.00359996075751523,2.95465870438346e-09,1,"#e41a1c"
"31",0.0512994407945906,4.05688644979703e-09,1,"#e41a1c"
"32",0.0989989208316657,5.5069617415085e-09,1,"#e41a1c"
"33",0.146698400868741,7.65009840211953e-09,1,"#e41a1c"
"34",0.194397880905816,1.05293384073141e-08,1,"#e41a1c"
"35",0.242097360942892,1.43509800791462e-08,1,"#e41a1c"
"36",0.289796840979967,1.9356375330214e-08,1,"#e41a1c"
"37",0.337496321017042,2.60918047873055e-08,1,"#e41a1c"
"38",0.385195801054117,3.557343072228e-08,1,"#e41a1c"
"39",0.432895281091193,4.80720306284109e-08,1,"#e41a1c"
"40",0.480594761128268,6.43585571046919e-08,1,"#e41a1c"
"41",0.528294241165343,8.53154903910413e-08,1,"#e41a1c"
"42",0.575993721202419,1.14065605946631e-07,1,"#e41a1c"
"43",0.623693201239494,1.5269250844536e-07,1,"#e41a1c"
"44",0.671392681276569,2.02678446206597e-07,1,"#e41a1c"
"45",0.719092161313645,2.66662604817226e-07,1,"#e41a1c"
